Epoch	Train	Verify
0000	0.5135	0.50297
0001	0.48244	0.48619
0002	0.46858	0.46453
0003	0.43955	0.43837
0004	0.4102	0.38768
0005	0.3739	0.36866
0006	0.3513	0.35257
0007	0.3372	0.3497
0008	0.32426	0.3561
0009	0.3236	0.32605
0010	0.32199	0.31899
0011	0.30925	0.30719
0012	0.30361	0.29645
0013	0.29554	0.28574
0014	0.281	0.28432
0015	0.26841	0.26539
0016	0.26707	0.25563
0017	0.25625	0.30346
0018	0.24832	0.23778
0019	0.23856	0.22887
0020	0.23115	0.21727
0021	0.2205	0.20365
0022	0.2167	0.22151
0023	0.20411	0.2149
0024	0.2083	0.18741
0025	0.19089	0.20565
0026	0.18796	0.17339
0027	0.19389	0.17229
0028	0.18418	0.169
0029	0.18264	0.16216
0030	0.16641	0.21305
0031	0.17907	0.16353
0032	0.16758	0.16358
0033	0.16159	0.18061
0034	0.14775	0.17108
0035	0.16393	0.15918
0036	0.16567	0.14547
0037	0.14842	0.18187
0038	0.15332	0.20512
0039	0.152	0.1631
0040	0.14095	0.13736
0041	0.15315	0.13904
0042	0.15181	0.13788
0043	0.14039	0.18861
0044	0.14431	0.21003
0045	0.14575	0.13218
0046	0.15088	0.15941
0047	0.15126	0.16544
0048	0.1513	0.13058
0049	0.10177	0.1606
0050	0.12839	0.15298
0051	0.12923	0.14072
0052	0.13683	0.12803
0053	0.13485	0.12786
0054	0.14283	0.13011
0055	0.13284	0.13
0056	0.12564	0.12576
0057	0.14114	0.14425
0058	0.12035	0.18352
0059	0.13398	0.12733
