Epoch	Train	Verify
0000	0.56609	0.53125
0001	0.56609	0.60885
0002	0.5538	0.55258
0003	0.5458	0.53684
0004	0.51819	0.53282
0005	0.50292	0.51645
0006	0.49092	0.50028
0007	0.48123	0.49349
0008	0.47454	0.47878
0009	0.46059	0.44635
0010	0.42559	0.38451
0011	0.36008	0.3687
0012	0.34261	0.42331
0013	0.39707	0.39238
0014	0.36121	0.4392
0015	0.42014	0.36563
0016	0.33166	0.35744
0017	0.32362	0.34906
0018	0.31655	0.34429
0019	0.31286	0.33602
0020	0.30535	0.32829
0021	0.29968	0.32307
0022	0.29502	0.31732
0023	0.29128	0.31394
0024	0.28764	0.31644
0025	0.29244	0.33237
0026	0.30277	0.31088
0027	0.28765	0.29932
0028	0.27486	0.28791
0029	0.26884	0.27954
0030	0.25857	0.27246
0031	0.25682	0.27305
0032	0.25265	0.26061
0033	0.2473	0.25975
0034	0.24126	0.25608
0035	0.24623	0.27464
0036	0.25216	0.248
0037	0.24054	0.24269
0038	0.22562	0.2233
0039	0.21647	0.22876
0040	0.21352	0.22272
0041	0.21999	0.2559
0042	0.23415	0.2165
0043	0.21488	0.21538
0044	0.20084	0.19592
0045	0.19139	0.19823
0046	0.18735	0.18965
0047	0.18684	0.20263
0048	0.18904	0.20462
0049	0.20942	0.24884
0050	0.2268	0.19049
0051	0.19395	0.18853
0052	0.1765	0.17205
0053	0.16688	0.17306
0054	0.16514	0.1682
0055	0.16433	0.17912
0056	0.1678	0.18809
0057	0.19468	0.26609
0058	0.24	0.1948
0059	0.20361	0.19285
0060	0.17825	0.15835
0061	0.15419	0.1599
0062	0.15205	0.15611
0063	0.15139	0.16204
0064	0.15235	0.1644
0065	0.1654	0.20846
0066	0.1911	0.17426
0067	0.17848	0.17464
0068	0.16214	0.15055
0069	0.14476	0.15076
0070	0.14319	0.14949
0071	0.14237	0.15027
0072	0.14169	0.14904
0073	0.14438	0.18712
0074	0.17266	0.22436
0075	0.23826	0.33969
0076	0.29838	0.14691
0077	0.14285	0.14801
0078	0.13814	0.14531
0079	0.14022	0.15004
0080	0.13962	0.14765
0081	0.14466	0.15644
0082	0.14526	0.14144
0083	0.13522	0.1411
0084	0.13173	0.13957
0085	0.13087	0.13946
0086	0.13025	0.13846
0087	0.12963	0.14031
0088	0.12999	0.14497
0089	0.1394	0.20293
0090	0.18617	0.20834
0091	0.21893	0.27292
0092	0.24196	0.14071
0093	0.13388	0.13741
0094	0.12637	0.13585
0095	0.12661	0.13833
0096	0.12695	0.13816
0097	0.13066	0.14349
0098	0.13203	0.13436
0099	0.12484	0.13366
0100	0.12212	0.13271
0101	0.12138	0.13273
0102	0.12092	0.13221
0103	0.12061	0.13334
0104	0.12097	0.13721
0105	0.12741	0.16643
0106	0.15484	0.16682
0107	0.16549	0.18684
0108	0.1732	0.13349
0109	0.12178	0.1308
0110	0.11747	0.13053
0111	0.11733	0.13072
0112	0.11713	0.13197
0113	0.11891	0.13612
0114	0.12345	0.13378
0115	0.12103	0.13145
0116	0.11765	0.12889
0117	0.11429	0.12859
0118	0.11381	0.12849
0119	0.11352	0.12832
0120	0.11323	0.12909
0121	0.11387	0.13126
0122	0.11706	0.1332
0123	0.11897	0.13238
0124	0.11845	0.12797
0125	0.11183	0.12682
0126	0.11044	0.12692
0127	0.11017	0.12654
0128	0.10987	0.12774
0129	0.11062	0.12922
0130	0.11394	0.13132
0131	0.11486	0.12908
0132	0.11364	0.12634
0133	0.10819	0.12536
0134	0.10719	0.12555
0135	0.10693	0.12509
0136	0.10664	0.12621
0137	0.10706	0.12648
0138	0.10933	0.12941
0139	0.11065	0.127
0140	0.11013	0.12541
0141	0.10537	0.12421
0142	0.10433	0.12461
0143	0.10412	0.12397
0144	0.1039	0.12579
0145	0.10478	0.12623
0146	0.10873	0.13097
0147	0.11098	0.12767
0148	0.11121	0.12496
0149	0.10305	0.12323
0150	0.10169	0.12395
0151	0.10156	0.12303
0152	0.10148	0.1244
0153	0.10127	0.12288
0154	0.10119	0.12485
0155	0.10082	0.12275
0156	0.10077	0.12419
0157	0.099813	0.1225
0158	0.099454	0.12538
0159	0.10029	0.12351
0160	0.10332	0.12819
0161	0.10309	0.12282
0162	0.1016	0.12336
0163	0.097777	0.12234
0164	0.097269	0.12283
0165	0.09711	0.12186
0166	0.097164	0.12608
0167	0.099646	0.12797
0168	0.1129	0.14022
0169	0.11801	0.13569
0170	0.12549	0.12333
0171	0.09627	0.12158
0172	0.095543	0.12299
0173	0.095736	0.12124
0174	0.096446	0.1295
0175	0.10281	0.13042
0176	0.11738	0.13057
0177	0.10404	0.12257
0178	0.10149	0.12254
0179	0.094593	0.12159
0180	0.094205	0.1219
0181	0.094088	0.1212
0182	0.09401	0.12358
0183	0.094898	0.12217
0184	0.10071	0.13456
0185	0.10882	0.13051
0186	0.11802	0.12374
0187	0.09451	0.12065
0188	0.093112	0.12304
0189	0.09346	0.12038
0190	0.094259	0.12328
0191	0.09347	0.12041
0192	0.092499	0.12133
0193	0.091871	0.12074
0194	0.091685	0.1214
0195	0.091575	0.1201
0196	0.091761	0.12563
0197	0.095262	0.12761
0198	0.11381	0.1401
0199	0.1151	0.13464
0200	0.12562	0.12093
0201	0.090253	0.12022
0202	0.090075	0.12099
0203	0.090058	0.11995
0204	0.090035	0.12281
0205	0.091272	0.12077
0206	0.09784	0.13163
0207	0.1028	0.12442
0208	0.10746	0.12201
0209	0.09011	0.11991
0210	0.089277	0.12154
0211	0.089542	0.11938
0212	0.090338	0.12261
0213	0.090322	0.11941
0214	0.089635	0.1208
0215	0.088693	0.11982
0216	0.088465	0.12092
0217	0.088457	0.11934
0218	0.088598	0.12202
0219	0.088734	0.11898
0220	0.089298	0.1222
0221	0.088585	0.11937
0222	0.087786	0.12042
0223	0.087309	0.11989
0224	0.08716	0.12074
0225	0.087112	0.11922
0226	0.087331	0.12443
0227	0.090086	0.12036
0228	0.097542	0.12783
0229	0.094303	0.11924
