	EPOCH	TRAIN	VERIFY
	0	0.478	0.4774
	1	0.478	0.5253
	2	0.4954	0.4852
	3	0.467	0.4621
	4	0.4619	0.4577
	5	0.4406	0.4517
	6	0.4293	0.4413
	7	0.4123	0.4276
	8	0.397	0.406
	9	0.3739	0.3784
	10	0.3443	0.3579
	11	0.3245	0.3484
	12	0.3142	0.3392
	13	0.3066	0.3272
	14	0.296	0.3148
	15	0.2852	0.303
	16	0.2748	0.2978
	17	0.2723	0.2941
	18	0.2675	0.2922
	19	0.266	0.29
	20	0.2639	0.2871
	21	0.261	0.2864
	22	0.2582	0.2843
	23	0.2551	0.281
	24	0.2544	0.2808
	25	0.2522	0.2791
	26	0.2509	0.2778
	27	0.2497	0.2771
	28	0.2487	0.276
	29	0.247	0.2757
	30	0.245	0.2764
	31	0.2447	0.2753
	32	0.2431	0.2736
	33	0.2417	0.2722
	34	0.2403	0.2696
	35	0.2378	0.2669
	36	0.2347	0.2628
	37	0.2326	0.2603
	38	0.2291	0.2557
	39	0.2251	0.2662
	40	0.2325	0.2536
	41	0.2209	0.2506
	42	0.2192	0.2493
	43	0.2181	0.2475
	44	0.2165	0.2452
	45	0.2138	0.242
	46	0.2096	0.2362
	47	0.2085	0.2536
	48	0.2174	0.234
	49	0.2005	0.2303
	50	0.1994	0.2289
	51	0.1974	0.2288
	52	0.1967	0.2285
	53	0.1957	0.2264
	54	0.1944	0.2228
	55	0.1923	0.2208
	56	0.1901	0.2174
	57	0.1872	0.2158
	58	0.1849	0.2105
	59	0.1838	0.2116
	60	0.1824	0.2105
	61	0.1818	0.2098
	62	0.1812	0.2087
	63	0.1801	0.2068
	64	0.178	0.2069
	65	0.1758	0.2053
	66	0.1746	0.2037
	67	0.1736	0.2033
	68	0.1727	0.2029
	69	0.1712	0.2016
	70	0.1692	0.1994
	71	0.1662	0.2041
	72	0.1685	0.1971
	73	0.1635	0.1971
	74	0.1629	0.1965
	75	0.162	0.1954
	76	0.1607	0.193
	77	0.1591	0.1925
	78	0.1582	0.192
	79	0.1577	0.1911
	80	0.1569	0.1897
	81	0.1554	0.1899
	82	0.1546	0.1883
	83	0.1539	0.1882
	84	0.1534	0.1881
	85	0.153	0.1878
	86	0.1528	0.1872
	87	0.1523	0.1864
	88	0.1517	0.1863
	89	0.1512	0.1854
	90	0.1506	0.1852
	91	0.1503	0.1852
	92	0.15	0.1852
	93	0.1495	0.185
	94	0.1486	0.1847
	95	0.1473	0.1847
	96	0.1473	0.1828
	97	0.1474	0.1821
	98	0.1445	0.1819
	99	0.1441	0.1818
	100	0.1437	0.1812
	101	0.1432	0.1806
	102	0.1425	0.1796
	103	0.1412	0.1781
	104	0.1394	0.1821
	105	0.1434	0.1774
	106	0.1383	0.1772
	107	0.1381	0.177
	108	0.1378	0.1767
	109	0.1373	0.1761
	110	0.1366	0.1755
	111	0.1359	0.175
	112	0.1353	0.1746
	113	0.135	0.1742
	114	0.1343	0.1733
	115	0.1332	0.172
	116	0.1315	0.1711
	117	0.1309	0.173
	118	0.1318	0.1707
	119	0.1292	0.1705
	120	0.129	0.1702
	121	0.1286	0.1702
	122	0.1283	0.1701
	123	0.1282	0.1699
	124	0.1279	0.1697
	125	0.1276	0.1693
	126	0.1272	0.1692
	127	0.1269	0.1689
	128	0.1265	0.1686
	129	0.1259	0.1681
	130	0.1249	0.1675
	131	0.1232	0.167
	132	0.1212	0.1987
	133	0.1514	0.1669
	134	0.1203	0.169
	135	0.1212	0.167
	136	0.1197	0.1669
	137	0.1193	0.1669
	138	0.1188	0.1673
	139	0.1185	0.1674
	140	0.1184	0.1687
	141	0.1184	0.1678
	142	0.1182	0.1678
	143	0.1181	0.1678
