Epoch	Train	Verify
0000	0.49374	0.51397
0001	0.49374	0.52268
0002	0.53512	0.50735
0003	0.51931	0.46238
0004	0.46391	0.53176
0005	0.50015	0.45193
0006	0.43275	0.41264
0007	0.40732	0.40596
0008	0.39557	0.39184
0009	0.37856	0.37124
0010	0.35334	0.35076
0011	0.32854	0.33984
0012	0.31274	0.33674
0013	0.3106	0.32586
0014	0.30028	0.32303
0015	0.29759	0.32084
0016	0.29525	0.31732
0017	0.2919	0.31258
0018	0.28773	0.30596
0019	0.28211	0.29539
0020	0.27438	0.28509
0021	0.26508	0.27336
0022	0.26235	0.3314
0023	0.29703	0.27167
0024	0.25231	0.26908
0025	0.25038	0.26779
0026	0.24988	0.26737
0027	0.24928	0.26652
0028	0.24826	0.26521
0029	0.24662	0.26037
0030	0.24454	0.25846
0031	0.2413	0.24954
0032	0.23582	0.23525
0033	0.2269	0.26249
0034	0.24306	0.23246
0035	0.22485	0.22697
0036	0.21604	0.22573
0037	0.215	0.22352
0038	0.21372	0.22293
0039	0.21283	0.22066
0040	0.21116	0.21701
0041	0.2081	0.21015
0042	0.20286	0.19724
0043	0.19398	0.23692
0044	0.2166	0.19721
0045	0.20016	0.1942
0046	0.185	0.19015
0047	0.18363	0.18776
0048	0.18278	0.18505
0049	0.18192	0.18454
0050	0.18099	0.18405
0051	0.17954	0.18032
0052	0.17811	0.18081
0053	0.17691	0.18154
0054	0.17523	0.17938
0055	0.17377	0.17829
0056	0.17277	0.17628
0057	0.17089	0.17299
0058	0.16757	0.17133
0059	0.16331	0.16509
0060	0.16586	0.16764
0061	0.16129	0.16624
0062	0.16081	0.16591
0063	0.16037	0.16562
0064	0.15956	0.16562
0065	0.15841	0.16517
0066	0.15724	0.16463
0067	0.15571	0.16124
0068	0.15421	0.16556
0069	0.15395	0.16277
0070	0.15274	0.16212
0071	0.15236	0.16132
0072	0.15195	0.16188
0073	0.15143	0.16233
0074	0.15091	0.16209
0075	0.15021	0.16087
0076	0.14941	0.16233
0077	0.1487	0.16029
0078	0.1471	0.15766
0079	0.14623	0.16595
0080	0.14854	0.1591
0081	0.14527	0.15916
0082	0.14496	0.15959
0083	0.14449	0.1587
0084	0.14497	0.16089
0085	0.14382	0.15887
0086	0.14325	0.15944
0087	0.14293	0.15882
0088	0.14272	0.15806
