SWIDTH	SLENGTH	h1#03
0	0	2.10144e-05
0.421053	0	8.98312e-05
0.842105	0	0.000316993
1.26316	0	0.000923387
1.68421	0	0.00222039
2.10526	0	0.00440743
2.52632	0	0.00722194
2.94737	0	0.00976863
3.36842	0	0.0109075
3.78947	0	0.0100537
4.21053	0	0.00764963
4.63158	0	0.00480469
5.05263	0	0.00249116
5.47368	0	0.00106623
5.89474	0	0.000376712
6.31579	0	0.00010987
6.73684	0	2.64522e-05
7.15789	0	5.25722e-06
7.57895	0	8.62504e-07
8	0	1.16809e-07
0	0.526316	4.9382e-05
0.421053	0.526316	0.000211096
0.842105	0.526316	0.000744907
1.26316	0.526316	0.00216988
1.68421	0.526316	0.00521773
2.10526	0.526316	0.0103571
2.52632	0.526316	0.0169709
2.94737	0.526316	0.0229554
3.36842	0.526316	0.0256317
3.78947	0.526316	0.0236254
4.21053	0.526316	0.017976
4.63158	0.526316	0.0112906
5.05263	0.526316	0.00585402
5.47368	0.526316	0.00250555
5.89474	0.526316	0.000885241
6.31579	0.526316	0.000258186
6.73684	0.526316	6.21605e-05
7.15789	0.526316	1.2354e-05
7.57895	0.526316	2.02681e-06
8	0.526316	2.74492e-07
0	1.05263	0.000104614
0.421053	1.05263	0.000447199
0.842105	1.05263	0.00157806
1.26316	1.05263	0.00459682
1.68421	1.05263	0.0110536
2.10526	1.05263	0.0219412
2.52632	1.05263	0.0359524
2.94737	1.05263	0.0486303
3.36842	1.05263	0.0542998
3.78947	1.05263	0.0500496
4.21053	1.05263	0.0380815
4.63158	1.05263	0.0239188
5.05263	1.05263	0.0124015
5.47368	1.05263	0.00530791
5.89474	1.05263	0.00187535
6.31579	1.05263	0.000546958
6.73684	1.05263	0.000131685
7.15789	1.05263	2.61716e-05
7.57895	1.05263	4.29373e-06
8	1.05263	5.81502e-07
0	1.57895	0.000199793
0.421053	1.57895	0.000854067
0.842105	1.57895	0.0030138
1.26316	1.57895	0.00877907
1.68421	1.57895	0.0211103
2.10526	1.57895	0.0419035
2.52632	1.57895	0.0686623
2.94737	1.57895	0.0928749
3.36842	1.57895	0.103702
3.78947	1.57895	0.0955854
4.21053	1.57895	0.0727286
4.63158	1.57895	0.0456804
5.05263	1.57895	0.0236846
5.47368	1.57895	0.0101371
5.89474	1.57895	0.00358158
6.31579	1.57895	0.00104459
6.73684	1.57895	0.000251494
7.15789	1.57895	4.99828e-05
7.57895	1.57895	8.20022e-06
8	1.57895	1.11056e-06
0	2.10526	0.000343986
0.421053	2.10526	0.00147046
0.842105	2.10526	0.00518889
1.26316	2.10526	0.015115
1.68421	2.10526	0.0363458
2.10526	2.10526	0.0721458
2.52632	2.10526	0.118217
2.94737	2.10526	0.159904
3.36842	2.10526	0.178546
3.78947	2.10526	0.16457
4.21053	2.10526	0.125218
4.63158	2.10526	0.0786485
5.05263	2.10526	0.0407781
5.47368	2.10526	0.0174532
5.89474	2.10526	0.00616644
6.31579	2.10526	0.00179848
6.73684	2.10526	0.000433
7.15789	2.10526	8.6056e-05
7.57895	2.10526	1.41184e-05
8	2.10526	1.91206e-06
0	2.63158	0.000533913
0.421053	2.63158	0.00228235
0.842105	2.63158	0.00805387
1.26316	2.63158	0.0234606
1.68421	2.63158	0.0564136
2.10526	2.63158	0.11198
2.52632	2.63158	0.183488
2.94737	2.63158	0.248192
3.36842	2.63158	0.277127
3.78947	2.63158	0.255436
4.21053	2.63158	0.194355
4.63158	2.63158	0.122073
5.05263	2.63158	0.0632932
5.47368	2.63158	0.0270897
5.89474	2.63158	0.00957115
6.31579	2.63158	0.00279148
6.73684	2.63158	0.000672074
7.15789	2.63158	0.000133571
7.57895	2.63158	2.19137e-05
8	2.63158	2.96778e-06
0	3.15789	0.000747085
0.421053	3.15789	0.0031936
0.842105	3.15789	0.0112695
1.26316	3.15789	0.0328275
1.68421	3.15789	0.0789374
2.10526	3.15789	0.156689
2.52632	3.15789	0.256748
2.94737	3.15789	0.347286
3.36842	3.15789	0.387774
3.78947	3.15789	0.357422
4.21053	3.15789	0.271953
4.63158	3.15789	0.170812
5.05263	3.15789	0.0885638
5.47368	3.15789	0.0379057
5.89474	3.15789	0.0133926
6.31579	3.15789	0.00390602
6.73684	3.15789	0.000940408
7.15789	3.15789	0.0001869
7.57895	3.15789	3.0663e-05
8	3.15789	4.15271e-06
0	3.68421	0.000942407
0.421053	3.68421	0.00402856
0.842105	3.68421	0.0142158
1.26316	3.68421	0.0414101
1.68421	3.68421	0.0995753
2.10526	3.68421	0.197655
2.52632	3.68421	0.323874
2.94737	3.68421	0.438083
3.36842	3.68421	0.489155
3.78947	3.68421	0.450868
4.21053	3.68421	0.343054
4.63158	3.68421	0.215471
5.05263	3.68421	0.111718
5.47368	3.68421	0.0478159
5.89474	3.68421	0.016894
6.31579	3.68421	0.00492723
6.73684	3.68421	0.00118627
7.15789	3.68421	0.000235765
7.57895	3.68421	3.86797e-05
8	3.68421	5.23841e-06
0	4.21053	0.00107171
0.421053	4.21053	0.00458129
0.842105	4.21053	0.0161663
1.26316	4.21053	0.0470917
1.68421	4.21053	0.113237
2.10526	4.21053	0.224774
2.52632	4.21053	0.368311
2.94737	4.21053	0.498189
3.36842	4.21053	0.556269
3.78947	4.21053	0.512728
4.21053	4.21053	0.390122
4.63158	4.21053	0.245034
5.05263	4.21053	0.127046
