#Epoch	Train	Train
0000	0.53123	0.58407
0050	0.2226	0.24944
0100	0.14329	0.14917
0150	0.12386	0.12439
0200	0.11193	0.11209
0250	0.10365	0.10781
0300	0.10404	0.10269
0350	0.10051	0.094653
0400	0.096812	0.095039
0450	0.096363	0.097007
0500	0.095227	0.087422
0550	0.08677	0.095282
0600	0.092353	0.09232
0650	0.089447	0.091968
0700	0.086127	0.083431
0750	0.097085	0.092932
0800	0.086851	0.087305
0850	0.090121	0.087873
0900	0.088137	0.090806
0950	0.084082	0.087347
1000	0.084375	0.081908
1050	0.083956	0.088906
1100	0.079346	0.087785
1150	0.091433	0.082192
1200	0.087715	0.089252
1250	0.071453	0.086759
1300	0.087559	0.081528
1350	0.086082	0.081148
1400	0.088337	0.087714
1450	0.085587	0.085107
1500	0.084551	0.090816
1550	0.081325	0.08368
1600	0.092301	0.080468
1650	0.084796	0.075551
1700	0.085926	0.084364
1750	0.079402	0.083791
1800	0.0836	0.083445
1850	0.076484	0.088644
1900	0.08035	0.082024
1950	0.076658	0.067592
2000	0.080243	0.086438
2050	0.086429	0.084824
2100	0.090249	0.079616
2150	0.062461	0.067308
2200	0.077854	0.079797
2250	0.07882	0.080974
2300	0.061799	0.075928
2350	0.085125	0.07236
2400	0.079318	0.078283
2450	0.087047	0.078768
2500	0.070252	0.085488
2550	0.072676	0.079905
2600	0.077722	0.075484
2650	0.083353	0.083095
2700	0.070973	0.072009
2750	0.082968	0.087832
2800	0.073981	0.084412
2850	0.082145	0.075986
2900	0.072959	0.080897
2950	0.077167	0.062324
3000	0.071272	0.078761
3050	0.076508	0.083955
3100	0.082177	0.074952
3150	0.071831	0.081153
3200	0.071734	0.078394
3250	0.074552	0.070641
3300	0.073535	0.07525
3350	0.067757	0.075242
3400	0.066415	0.076735
3450	0.070485	0.083325
3500	0.07197	0.062029
3550	0.070516	0.074733
3600	0.078168	0.068603
3650	0.069501	0.075706
3700	0.053888	0.074562
3750	0.075717	0.061435
3800	0.077628	0.069671
3850	0.071551	0.07938
3900	0.079996	0.051987
3950	0.066117	0.067223
4000	0.065034	0.067639
4050	0.076459	0.06374
4100	0.079597	0.07698
4150	0.063673	0.084483
4200	0.08082	0.071252
4250	0.056503	0.076537
4300	0.073131	0.072895
4350	0.057617	0.075662
4400	0.06824	0.062211
4450	0.073944	0.069576
4500	0.071584	0.0795
4550	0.069839	0.062298
4600	0.071589	0.056105
4650	0.071217	0.062814
4700	0.071433	0.075287
4750	0.063788	0.081364
4800	0.062796	0.076183
4850	0.065916	0.06456
4900	0.069511	0.049134
4950	0.07169	0.070863
5000	0.057935	0.072956
5050	0.071709	0.069362
5100	0.074643	0.066307
5150	0.070512	0.068981
5200	0.068341	0.069154
5250	0.060937	0.072245
5300	0.07369	0.071893
5350	0.072279	0.076714
5400	0.073787	0.059792
5450	0.057858	0.069283
5500	0.071891	0.06197
5550	0.060863	0.067829
5600	0.066713	0.059282
5650	0.045745	0.067291
5700	0.066562	0.069883
5750	0.072809	0.068293
5800	0.063521	0.067487
5850	0.05859	0.062503
5900	0.057346	0.064984
5950	0.080983	0.072114
6000	0.06766	0.0734
6050	0.05203	0.049459
6100	0.057268	0.062299
6150	0.057175	0.068694
6200	0.054027	0.078958
6250	0.038956	0.063346
6300	0.066782	0.061486
6350	0.065407	0.055088
6400	0.051573	0.06003
6450	0.060354	0.057143
6500	0.059406	0.050139
6550	0.05328	0.062245
6600	0.045464	0.045386
6650	0.066695	0.061571
6700	0.056234	0.063647
6750	0.051107	0.074951
6800	0.057083	0.061026
6850	0.06603	0.050598
6900	0.056288	0.061137
6950	0.060319	0.067932
7000	0.058522	0.06489
7050	0.064796	0.056785
7100	0.036774	0.065383
7150	0.07019	0.057505
7200	0.069528	0.069866
7250	0.045436	0.065505
7300	0.067998	0.063017
7350	0.065506	0.054922
7400	0.064681	0.061579
7450	0.063604	0.053882
7500	0.062185	0.046335
7550	0.056046	0.066869
7600	0.048979	0.046563
7650	0.060465	0.048052
7700	0.066044	0.06059
7750	0.059703	0.033475
7800	0.061547	0.051089
7850	0.06953	0.064459
7900	0.056382	0.053354
7950	0.053749	0.058525
8000	0.052758	0.035028
8050	0.065841	0.048897
8100	0.065784	0.067033
8150	0.053732	0.050259
8200	0.04959	0.034862
8250	0.040762	0.030803
8300	0.05402	0.065065
8350	0.049495	0.050818
8400	0.057483	0.056213
8450	0.051127	0.048327
8500	0.051159	0.034926
8550	0.05251	0.070617
8600	0.06447	0.032807
8650	0.048848	0.04847
8700	0.050826	0.057172
8750	0.055201	0.044016
8800	0.061835	0.058914
8850	0.055631	0.047319
8900	0.041371	0.057077
8950	0.056585	0.040701
9000	0.056523	0.042016
9050	0.038135	0.049057
9100	0.052738	0.054569
9150	0.059235	0.050769
9200	0.053582	0.056893
9250	0.069929	0.05015
9300	0.04783	0.040093
9350	0.037731	0.043657
9400	0.047071	0.052602
9450	0.059165	0.044982
9500	0.046759	0.043894
9550	0.048112	0.046912
9600	0.054124	0.035443
9650	0.048248	0.031196
9700	0.051137	0.03076
9750	0.063065	0.046578
9800	0.039281	0.034661
9850	0.052494	0.040056
9900	0.047387	0.041063
9950	0.050784	0.03887
10000	0.034894	0.033094
10050	0.032917	0.038746
10100	0.041115	0.028775
