Epoch	Train	Verify	Train	Verify	Train	Verify	Train	Verify	Train	Verify	Train	Verify	Train	Verify
0000	0.5149	0.45749	0.5031	0.51764	0.47978	0.51164	0.53692	0.55716	0.5292	0.59179	0.54528	0.48982	0.51432	0.55729
0200	0.11469	0.11148	0.12516	0.11974	0.11678	0.11112	0.10468	0.076501	0.10848	0.09027	0.10888	0.088853	0.10452	0.092437
0400	0.096213	0.097528	0.087374	0.1337	0.097286	0.1019	0.091625	0.075899	0.094779	0.09355	0.0922	0.11064	0.094402	0.10059
0600	0.090576	0.073827	0.086735	0.056	0.090835	0.10531	0.077604	0.12133	0.088926	0.062933	0.088551	0.085203	0.076925	0.12769
0800	0.087971	0.093485	0.087504	0.092604	0.086703	0.06528	0.08653	0.085876	0.084009	0.12572	0.089335	0.093686	0.076879	0.10282
1000	0.087383	0.084808	0.077951	0.052609	0.085291	0.073107	0.075762	0.11248	0.084805	0.1114	0.083353	0.090991	0.083986	0.12055
1200	0.082012	0.067731	0.075629	0.056339	0.07665	0.11485	0.087774	0.086944	0.073432	0.12445	0.06949	0.11074	0.08025	0.087691
1400	0.082703	0.086781	0.079062	0.057889	0.082144	0.076456	0.080856	0.088224	0.060409	0.12877	0.081411	0.05949	0.087232	0.087954
1600	0.079643	0.054641	0.072457	0.042426	0.08351	0.083207	0.081526	0.079891	0.080668	0.058907	0.069158	0.10834	0.08646	0.078308
1800	0.068045	0.10944	0.07646	0.054681	0.074857	0.045712	0.078737	0.042611	0.064948	0.10806	0.077197	0.071732	0.071783	0.10616
2000	0.080099	0.078454	0.069522	0.057494	0.075139	0.1049	0.080801	0.085727	0.073937	0.059343	0.071762	0.066202	0.065765	0.1201
2200	0.081588	0.071238	0.066941	0.081581	0.079067	0.053109	0.073557	0.089734	0.063352	0.11424	0.070578	0.089969	0.083959	0.089109
2400	0.073035	0.11099	0.061749	0.11481	0.075035	0.04988	0.076836	0.09754	0.064269	0.067703	0.059727	0.075379	0.0788	0.080895
2600	0.072757	0.088528	0.054362	0.11425	0.075348	0.096336	0.075052	0.036633	0.05909	0.083502	0.053626	0.051712	0.068585	0.1121
2800	0.073899	0.06924	0.046459	0.11917	0.075683	0.050769	0.072126	0.067551	0.049858	0.12288	0.052649	0.069175	0.078125	0.041602
3000	0.074319	0.042525	0.053921	0.056897	0.074156	0.081823	0.080591	0.074831	0.049229	0.1211	0.049319	0.12103	0.076934	0.074706
3200	0.072421	0.034088	0.049156	0.11286	0.066203	0.10972	0.073053	0.043153	0.042121	0.095934	0.043507	0.1029	0.074902	0.039269
3400	0.069531	0.030421	0.046031	0.11415	0.069584	0.049171	0.08284	0.036293	0.044279	0.11295	0.038937	0.068178	0.068853	0.089127
3600	0.075758	0.10126	0.044433	0.1033	0.073592	0.047572	0.064954	0.022226	0.040012	0.09446	0.035603	0.12232	0.06358	0.10599
3800	0.077597	0.083316	0.040451	0.09063	0.069913	0.033235	0.065999	0.04025	0.035704	0.087704	0.038066	0.098791	0.058239	0.025276
4000	0.063971	0.045168	0.036204	0.090229	0.070474	0.081823	0.074517	0.060477	0.033511	0.082557	0.032605	0.1131	0.069464	0.042001
4200	0.071645	0.076342	0.03732	0.069466	0.071435	0.048011	0.066323	0.1037	0.03119	0.11215	0.0312	0.083291	0.073791	0.050428
4400	0.072105	0.088794	0.032607	0.091437	0.073522	0.036861	0.066406	0.021206	0.029289	0.10591	0.029473	0.10785	0.050951	0.10995
4600	0.07274	0.073903	0.030926	0.096255	0.074791	0.032601	0.080159	0.076229	0.025482	0.11648	0.02854	0.11458	0.053657	0.10904
4800	0.055482	0.1026	0.030364	0.086652	0.071126	0.066123	0.065639	0.098348	0.026131	0.097605	0.026817	0.10808	0.055996	0.048552
5000	0.058392	0.10319	0.028601	0.067983	0.073706	0.065816	0.061662	0.067954	0.024402	0.11196	0.025453	0.10937	0.060287	0.041087
5200	0.066486	0.070198	0.026925	0.072927	0.067212	0.092138	0.059393	0.09926	0.023799	0.10467	0.024268	0.10049	0.055193	0.085751
5400	0.072263	0.031803	0.027041	0.075671	0.056054	0.096224	0.070457	0.065163	0.022356	0.10442	0.022685	0.11154	0.039277	0.035436
5600	0.061851	0.06925	0.024943	0.063842	0.071909	0.080737	0.064454	0.066296	0.021096	0.11199	0.021906	0.11448	0.046503	0.11202
5800	0.062848	0.030209	0.022581	0.091326	0.064694	0.071228	0.066541	0.091771	0.021298	0.10582	0.021196	0.10326	0.038277	0.083852
6000	0.056181	0.089653	0.023384	0.069111	0.0699	0.069127	0.067236	0.016436	0.019547	0.11304	0.019853	0.11303	0.037411	0.06418
6200	0.067713	0.03066	0.022087	0.082656	0.061115	0.042538	0.074641	0.038407	0.018837	0.11363	0.019594	0.10298	0.033019	0.10039
6400	0.05459	0.096426	0.020303	0.083606	0.057995	0.092801	0.054633	0.097912	0.01823	0.098805	0.018847	0.1036	0.030658	0.099836
6600	0.058231	0.065479	0.021384	0.068188	0.060163	0.088376	0.064645	0.015247	0.018182	0.10491	0.018377	0.11413	0.025909	0.1077
6800	0.057023	0.062475	0.02031	0.07607	0.050325	0.086862	0.066284	0.02071	0.017611	0.10729	0.017591	0.10552	0.025049	0.073616
7000	0.061055	0.021036	0.019801	0.069168	0.058453	0.088269	0.054113	0.023868	0.017129	0.10529	0.017453	0.11326	0.024473	0.091832
7200	0.063207	0.029601	0.018621	0.084718	0.071262	0.026709	0.065655	0.019305	0.016651	0.10797	0.016941	0.11111	0.022247	0.1062
7400	0.040957	0.085731	0.018554	0.070788	0.0438	0.090218	0.049302	0.096845	0.016222	0.10529	0.016148	0.11586	0.021187	0.10571
7600	0.058905	0.030891	0.018329	0.0683	0.05631	0.084296	0.061016	0.094861	0.015777	0.10877	0.01592	0.11498	0.020551	0.091333
7800	0.060427	0.058189	0.017661	0.07757	0.05766	0.028482	0.064747	0.01294	0.015406	0.10546	0.015597	0.1116	0.01966	0.095474
8000	0.054895	0.073694	0.017549	0.075339	0.051988	0.057745	0.035916	0.088056	0.015088	0.11061	0.015289	0.11421	0.018687	0.09841
8200	0.052147	0.087779	0.016851	0.076158	0.057049	0.017962	0.051662	0.085922	0.014753	0.10849	0.014874	0.11141	0.017624	0.1038
8400	0.051159	0.084541	0.016762	0.071214	0.053556	0.082883	0.055389	0.083977	0.014386	0.10643	0.01451	0.11121	0.016728	0.094488
8600	0.066177	0.065041	0.016615	0.07403	0.060822	0.030062	0.068094	0.055159	0.014193	0.10993	0.014289	0.11433	0.016246	0.1088
8800	0.036317	0.083103	0.016089	0.073909	0.066893	0.055966	0.052257	0.061313	0.013881	0.11286	0.013857	0.11672	0.015784	0.10211
9000	0.058964	0.058577	0.01555	0.079867	0.04711	0.02719	0.046292	0.074342	0.013585	0.11264	0.01374	0.11594	0.015244	0.10138
9200	0.06337	0.034735	0.015428	0.070158	0.054068	0.021891	0.038603	0.013585	0.013419	0.112	0.01343	0.11462	0.014721	0.10733
9400	0.061101	0.057433	0.015261	0.069343	0.046025	0.073731	0.046876	0.068086	0.013009	0.11542	0.013076	0.11813	0.014225	0.10825
9600	0.049122	0.078619	0.014669	0.075995	0.039144	0.083935	0.038907	0.012118	0.012816	0.10975	0.012901	0.11639	0.0136	0.11165
