epochs	4-2-3	4-3-3	4-4-3	4-5-3	4-6-3	4-7-3	4-8-3	4-9-3	4-10-3
0	0.54249	0.52548	0.48995	0.53123	0.48799	0.55908	0.60165	0.59676	0.4921
50	0.30492	0.24321	0.25771	0.2226	0.21837	0.24089	0.24908	0.23223	0.26088
100	0.15362	0.14707	0.16184	0.14329	0.13561	0.14196	0.14762	0.13865	0.16706
150	0.12408	0.11562	0.13153	0.12386	0.11856	0.12371	0.11875	0.12017	0.12828
200	0.11688	0.11087	0.11856	0.11193	0.11578	0.11137	0.11197	0.11189	0.1199
250	0.10802	0.10762	0.11078	0.10365	0.090876	0.10601	0.10643	0.10407	0.11239
300	0.10439	0.10302	0.10594	0.10404	0.099563	0.10581	0.10026	0.098578	0.10386
350	0.095742	0.10366	0.10077	0.10051	0.097335	0.10215	0.097755	0.10122	0.10104
400	0.091557	0.095795	0.093835	0.096812	0.09458	0.10072	0.098905	0.10061	0.095353
450	0.096959	0.095944	0.095661	0.096363	0.096312	0.091593	0.097515	0.096636	0.099068
500	0.09151	0.095227	0.09964	0.095227	0.094537	0.091534	0.096675	0.091116	0.098241
550	0.092205	0.094959	0.0961	0.08677	0.08253	0.085836	0.092102	0.094826	0.094832
600	0.092236	0.084672	0.095264	0.092353	0.094542	0.091331	0.090615	0.092413	0.091059
650	0.095243	0.090342	0.087005	0.089447	0.089649	0.098463	0.088039	0.093019	0.088845
700	0.093666	0.089893	0.082282	0.086127	0.093469	0.086965	0.091285	0.094497	0.089267
750	0.090021	0.090755	0.090469	0.097085	0.091603	0.084395	0.091435	0.086268	0.09157
800	0.09354	0.086531	0.088338	0.086851	0.082226	0.085438	0.091423	0.090866	0.087606
850	0.090143	0.090035	0.091928	0.090121	0.091795	0.088853	0.087488	0.092517	0.086576
900	0.092482	0.080592	0.092215	0.088137	0.085242	0.089246	0.083397	0.075072	0.081174
950	0.092236	0.086995	0.09184	0.084082	0.089878	0.091154	0.088753	0.090323	0.083063
1000	0.088791	0.07637	0.095898	0.084375	0.083015	0.093226	0.082141	0.095867	0.090229
1050	0.086532	0.083444	0.083532	0.083956	0.086116	0.064809	0.09565	0.092907	0.074778
1100	0.092637	0.084779	0.089355	0.079346	0.082791	0.074484	0.081104	0.086708	0.086772
1150	0.090637	0.088207	0.086969	0.091433	0.08643	0.085894	0.08708	0.088262	0.089449
1200	0.084274	0.085349	0.090413	0.087715	0.088615	0.090061	0.089464	0.078721	0.076399
1250	0.086059	0.085896	0.088439	0.071453	0.082907	0.079889	0.091524	0.085694	0.089779
1300	0.07621	0.086378	0.08864	0.087559	0.093288	0.085423	0.08854	0.084256	0.087273
1350	0.078621	0.082018	0.082727	0.086082	0.084454	0.090985	0.07692	0.084555	0.080358
1400	0.086905	0.083059	0.087404	0.088337	0.066768	0.080514	0.086452	0.088193	0.087173
1450	0.074401	0.081766	0.073522	0.085587	0.087294	0.074585	0.083436	0.083768	0.085983
1500	0.085696	0.079077	0.080999	0.084551	0.079649	0.086223	0.085191	0.087627	0.075142
1550	0.08551	0.082305	0.082304	0.081325	0.079429	0.07845	0.081945	0.08256	0.085906
1600	0.082086	0.088223	0.081839	0.092301	0.088638	0.080269	0.082334	0.086697	0.089834
1650	0.074977	0.081416	0.080315	0.084796	0.083466	0.08146	0.077226	0.079711	0.087234
1700	0.088654	0.083586	0.080465	0.085926	0.08676	0.081685	0.066123	0.081342	0.083447
1750	0.084095	0.081552	0.083378	0.079402	0.086703	0.073772	0.089173	0.084319	0.087932
1800	0.076924	0.078505	0.066996	0.0836	0.08484	0.080611	0.074727	0.081093	0.080179
1850	0.086007	0.084989	0.081047	0.076484	0.076542	0.082407	0.071502	0.078931	0.084188
1900	0.082669	0.077628	0.082462	0.08035	0.073921	0.056452	0.082941	0.081005	0.080043
1950	0.077304	0.082619	0.084047	0.076658	0.080608	0.080483	0.068829	0.076778	0.078687
2000	0.081552	0.086073	0.072864	0.080243	0.090242	0.077237	0.081012	0.084349	0.078906
2050	0.077854	0.081275	0.078361	0.086429	0.083625	0.082373	0.078209	0.073065	0.08136
2100	0.080541	0.074406	0.081315	0.090249	0.075149	0.067467	0.087024	0.081221	0.074665
2150	0.084154	0.074457	0.082934	0.062461	0.089014	0.066742	0.086723	0.085272	0.073812
2200	0.085231	0.073897	0.081367	0.077854	0.067548	0.074336	0.06909	0.082264	0.080679
2250	0.07158	0.075795	0.07815	0.07882	0.084007	0.064224	0.082217	0.062958	0.084384
2300	0.074953	0.080756	0.069991	0.061799	0.077912	0.078299	0.079948	0.080148	0.087666
2350	0.079385	0.07449	0.08297	0.085125	0.076527	0.069649	0.072834	0.060855	0.083112
2400	0.080859	0.088409	0.06608	0.079318	0.086889	0.067337	0.069077	0.075407	0.076415
2450	0.07	0.076119	0.070255	0.087047	0.068828	0.062361	0.074921	0.081332	0.07551
2500	0.076001	0.080431	0.070748	0.070252	0.082223	0.072956	0.085203	0.075831	0.072727
2550	0.076533	0.073691	0.071406	0.072676	0.071449	0.068592	0.067463	0.090396	0.080876
2600	0.078599	0.07648	0.076426	0.077722	0.084225	0.065102	0.071646	0.069828	0.071195
2650	0.070603	0.082956	0.061869	0.083353	0.080489	0.065093	0.08012	0.073846	0.055134
2700	0.082119	0.078908	0.073275	0.070973	0.081116	0.062388	0.079908	0.08329	0.05699
2750	0.083549	0.085065	0.071811	0.082968	0.086548	0.061272	0.078581	0.070822	0.071849
2800	0.081969	0.062262	0.075765	0.073981	0.068621	0.057363	0.082817	0.063581	0.074917
2850	0.074952	0.0792	0.075631	0.082145	0.068703	0.057759	0.082926	0.076937	0.072446
2900	0.074153	0.071563	0.068	0.072959	0.077189	0.05397	0.070529	0.060208	0.060233
2950	0.065458	0.070982	0.067278	0.077167	0.088269	0.061398	0.079231	0.084931	0.073268
3000	0.073115	0.075165	0.067305	0.071272	0.074138	0.059021	0.074648	0.08171	0.072698
3050	0.072247	0.076345	0.07009	0.076508	0.082199	0.055498	0.082838	0.071339	0.078429
3100	0.081332	0.084386	0.072875	0.082177	0.078135	0.05153	0.080597	0.075253	0.069194
3150	0.079983	0.072357	0.070408	0.071831	0.067404	0.051904	0.079138	0.07642	0.066948
3200	0.077029	0.087201	0.068108	0.071734	0.074506	0.054432	0.069119	0.072661	0.078788
3250	0.072753	0.080476	0.061772	0.074552	0.081249	0.053073	0.065219	0.075931	0.077306
3300	0.075737	0.068187	0.064097	0.073535	0.064048	0.050031	0.07946	0.075965	0.070111
3350	0.075796	0.077937	0.050218	0.067757	0.072761	0.055762	0.055634	0.052009	0.053342
