Epoch	Train	Verify
0000	0.47799	0.49176
0001	0.47799	0.60941
0002	0.57822	0.58894
0003	0.55938	0.49231
0004	0.47531	0.70113
0005	0.72354	0.4678
0006	0.46477	0.48704
0007	0.47147	0.4641
0008	0.45662	0.45717
0009	0.45428	0.45599
0010	0.4522	0.45303
0011	0.44908	0.45037
0012	0.44624	0.44492
0013	0.44335	0.43576
0014	0.43903	0.42869
0015	0.43469	0.41695
0016	0.42822	0.40344
0017	0.4269	0.43191
0018	0.43614	0.40804
0019	0.42362	0.4046
0020	0.42308	0.40461
0021	0.42275	0.40414
0022	0.42215	0.40257
0023	0.4211	0.40044
0024	0.41929	0.39791
0025	0.41627	0.39151
0026	0.41446	0.41201
0027	0.41464	0.3982
0028	0.41009	0.39587
0029	0.40933	0.39465
0030	0.40848	0.39521
0031	0.40751	0.39455
0032	0.40679	0.40242
0033	0.40703	0.39451
0034	0.4058	0.39566
0035	0.40556	0.39636
0036	0.40527	0.39718
0037	0.40486	0.39801
0038	0.40441	0.39652
0039	0.40394	0.39519
0040	0.4033	0.39538
0041	0.40252	0.39199
0042	0.40214	0.3983
0043	0.40192	0.39466
0044	0.40146	0.39438
0045	0.40126	0.39392
0046	0.40088	0.39353
0047	0.40023	0.39384
0048	0.39929	0.39778
0049	0.39865	0.39151
0050	0.39994	0.39667
0051	0.39815	0.39552
0052	0.39802	0.39527
0053	0.39794	0.39506
0054	0.3978	0.39501
0055	0.39754	0.39482
0056	0.39705	0.39332
0057	0.3961	0.39157
0058	0.39449	0.38676
0059	0.39244	0.39915
0060	0.39478	0.38313
0061	0.39592	0.38754
0062	0.38997	0.38665
0063	0.38982	0.38569
0064	0.3897	0.38554
0065	0.38966	0.38549
0066	0.38959	0.38538
0067	0.38944	0.38519
0068	0.38917	0.38497
0069	0.38865	0.38416
0070	0.38778	0.38313
0071	0.38631	0.38863
0072	0.38628	0.38479
0073	0.39704	0.38296
0074	0.38424	0.38267
0075	0.38416	0.38223
0076	0.38404	0.3827
0077	0.3839	0.38315
0078	0.38382	0.38307
0079	0.38373	0.38294
0080	0.38358	0.38276
0081	0.38334	0.38462
0082	0.38316	0.38343
0083	0.38305	0.38326
0084	0.383	0.3833
0085	0.38295	0.38368
