n Po³¹czenia Neurony
1 1.0 1.0
2 1.0 1.0
3 1.0 1.0
4 0.0 1.0
5 1.0 1.0
6 1.0 1.0
7 1.0 1.0
8 1.0 1.0
9 1.0 1.0
10 0.0 0.0
11 0.0 1.0
12 0.0 1.0
13 0.0 1.0
14 0.0 1.0
15 0.0 1.0
16 0.0 0.0
17 0.0 1.0
18 0.0 1.0
19 1.0 1.0
20 1.0 1.0
21 1.0 1.0
22 1.0 1.0
23 1.0 1.0
24 1.0 1.0
25 1.0 1.0
26 1.0 1.0
27 1.0 1.0
28 1.0 1.0
29 1.0 1.0
30 1.0 1.0
31 1.0 1.0
32 1.0 1.0
33 1.0 1.0
34 1.0 1.0
35 1.0 1.0
36 1.0 1.0
37 1.0 1.0
38 1.0 1.0
39 1.0 1.0
40 1.0 1.0
41 2.0 2.0
42 1.0 2.0
43 2.0 2.0
44 2.0 2.0
45 2.0 2.0
46 2.0 2.0
47 2.0 2.0
48 2.0 2.0
49 1.0 2.0
50 1.0 2.0
51 1.0 2.0
52 0.0 1.0
53 1.0 1.0
54 2.0 2.0
55 1.0 1.0
56 1.0 1.0
57 0.0 0.0
58 0.0 1.0
59 1.0 1.0
60 1.0 1.0
61 1.0 1.0
62 1.0 1.0
63 1.0 1.0
64 1.0 1.0
65 1.0 1.0
66 1.0 1.0
67 1.0 1.0
68 1.0 1.0
69 0.0 0.0
70 0.0 1.0
71 0.0 0.0
72 0.0 1.0
73 0.0 0.0
74 0.0 1.0
75 1.0 1.0
76 1.0 1.0
77 1.0 1.0
78 1.0 1.0
79 1.0 1.0
80 1.0 1.0
81 1.0 1.0
82 1.0 1.0
83 0.0 1.0
84 0.0 1.0
85 1.0 1.0
86 1.0 1.0
87 1.0 1.0
88 1.0 1.0
89 2.0 2.0
90 2.0 2.0
91 2.0 2.0
92 2.0 2.0
93 2.0 2.0
94 2.0 2.0
95 2.0 2.0
96 2.0 2.0
97 2.0 2.0
98 2.0 2.0
99 2.0 2.0
100 2.0 2.0
101 2.0 2.0
102 2.0 2.0
103 2.0 2.0
104 2.0 2.0
105 2.0 2.0
106 2.0 2.0
107 2.0 2.0
108 2.0 2.0
109 2.0 2.0
110 2.0 2.0
111 2.0 2.0
112 3.0 3.0
113 4.0 3.0
114 4.0 3.0
115 4.0 3.0
116 5.0 3.0
117 5.0 3.0
118 4.0 3.0
119 3.0 3.0
120 3.0 3.0
121 4.0 4.0
122 4.0 4.0
123 3.0 4.0
124 3.0 4.0
125 2.0 3.0
126 1.0 2.0
127 0.0 2.0
128 0.0 2.0
129 0.0 2.0
130 1.0 3.0
131 1.0 3.0
132 1.0 3.0
133 1.0 3.0
134 0.0 2.0
135 1.0 2.0
136 1.0 2.0
137 0.0 2.0
138 1.0 2.0
139 1.0 1.0
140 1.0 1.0
141 0.0 0.0
142 0.0 1.0
143 0.0 1.0
144 0.0 1.0
145 0.0 1.0
146 0.0 1.0
147 1.0 1.0
148 1.0 1.0
149 0.0 0.0
150 0.0 1.0
151 0.0 1.0
152 1.0 1.0
153 1.0 1.0
154 1.0 1.0
155 1.0 1.0
156 1.0 1.0
157 1.0 1.0
158 1.0 1.0
159 1.0 1.0
160 2.0 1.0
161 2.0 1.0
162 2.0 1.0
163 2.0 1.0
164 3.0 2.0
165 4.0 2.0
166 4.0 2.0
167 4.0 2.0
168 3.0 1.0
169 3.0 1.0
170 3.0 1.0
171 3.0 1.0
172 3.0 1.0
173 3.0 1.0
174 2.0 1.0
175 2.0 1.0
176 2.0 1.0
