Epoch	Train	Verify	Train	Verify
0000	0.48107	0.48857	0.47592	0.48506
0001	0.48107	0.61385	0.47592	0.61225
0002	0.58243	0.61385	0.581	0.61035
0003	0.58243	0.61385	0.5793	0.5993
0004	0.58243	0.61385	0.56933	0.50649
0005	0.58243	0.61385	0.48784	0.68373
0006	0.58243	0.61385	0.70109	0.48634
0007	0.58243	0.61385	0.48356	0.52095
0008	0.58243	0.61385	0.4988	0.48615
0009	0.58243	0.61385	0.47149	0.47659
0010	0.58243	0.61385	0.47046	0.47749
0011	0.58243	0.61385	0.46683	0.47413
0012			0.46457	0.46662
0013			0.45935	0.47202
0014			0.46565	0.46031
0015			0.46667	0.44805
0016			0.44963	0.44659
0017			0.44867	0.44385
0018			0.44729	0.43843
0019			0.44482	0.42843
0020			0.44086	0.41622
0021			0.43741	0.44592
0022			0.48348	0.41418
0023			0.43689	0.41356
0024			0.4368	0.41321
0025			0.43669	0.41306
0026			0.43647	0.41277
0027			0.43602	0.41229
0028			0.43505	0.41313
0029			0.43269	0.42471
0030			0.43287	0.41506
0031			0.4322	0.41655
0032			0.42866	0.41448
0033			0.42683	0.41641
0034			0.4256	0.40653
0035			0.42593	0.40724
0036			0.42353	0.41603
0037			0.42477	0.40786
0038			0.42269	0.4083
0039			0.42242	0.40888
0040			0.42214	0.40861
0041			0.42173	0.40841
0042			0.42095	0.40838
0043			0.41951	0.41003
0044			0.41711	0.41109
0045			0.4151	0.4308
0046			0.41914	0.40961
0047			0.41453	0.41137
0048			0.41427	0.41269
0049			0.41418	0.41285
0050			0.41414	0.41282
0051			0.41406	0.41277
0052			0.4139	0.41243
0053			0.41363	0.41157
0054			0.41313	0.41027
0055			0.41228	0.40523
0056			0.41143	0.41572
0057			0.41246	0.40548
0058			0.41015	0.40632
0059			0.40982	0.40634
0060			0.40944	0.40628
0061			0.40873	0.403
0062			0.40774	0.40301
0063			0.40706	0.40249
0064			0.40613	0.39961
0065			0.40492	0.40429
0066			0.40445	0.40233
0067			0.40397	0.40174
0068			0.40365	0.40076
0069			0.40338	0.40102
0070			0.40292	0.40142
0071			0.40215	0.40184
0072			0.40071	0.4032
0073			0.39843	0.39232
0074			0.40172	0.40855
0075			0.40178	0.3955
0076			0.39625	0.39517
0077			0.396	0.39493
0078			0.39557	0.39483
0079			0.39485	0.39561
0080			0.39366	0.39474
0081			0.39222	0.41155
0082			0.39628	0.3963
0083			0.39169	0.39533
0084			0.39151	0.39461
0085			0.39124	0.39385
0086			0.39074	0.39207
0087			0.38992	0.38903
0088			0.38872	0.39391
0089			0.39021	0.38517
0090			0.39335	0.38763
0091			0.38774	0.38707
0092			0.38766	0.38689
0093			0.38758	0.38684
0094			0.38745	0.38696
0095			0.38721	0.38759
0096			0.3868	0.38914
0097			0.38617	0.39151
0098			0.38553	0.39948
0099			0.38783	0.39136
0100			0.38526	0.39128
0101			0.38518	0.39102
0102			0.38506	0.39046
0103			0.38492	0.38977
0104			0.38474	0.39024
0105			0.38465	0.39005
0106			0.38448	0.39011
0107			0.38441	0.39018
0108			0.38427	0.38988
0109			0.38404	0.38819
0110			0.38364	0.38944
0111			0.38369	0.38782
0112			0.38348	0.38787
0113			0.38322	0.38701
0114			0.38313	0.38726
0115			0.38305	0.387
0116			0.38299	0.38656
0117			0.38288	0.38605
0118			0.3827	0.38524
0119			0.38243	0.38183
0120			0.38276	0.38465
0121			0.38224	0.38405
0122			0.38217	0.38396
0123			0.38211	0.38422
0124			0.38203	0.38486
0125			0.38188	0.38456
0126			0.38172	0.38385
0127			0.38149	0.38058
0128			0.38129	0.38582
0129			0.38154	0.38289
0130			0.38095	0.38304
0131			0.38089	0.38337
0132			0.3808	0.38439
0133			0.38067	0.38429
0134			0.38051	0.38242
0135			0.38038	0.38535
0136			0.38023	0.38407
0137			0.38011	0.38336
0138			0.37997	0.38259
0139			0.37976	0.38285
0140			0.37945	0.38363
0141			0.37914	0.37997
0142			0.37896	0.37644
0143			0.37904	0.37959
0144			0.37863	0.37972
0145			0.3786	0.37967
0146			0.37855	0.37915
0147			0.37846	0.3785
0148			0.37834	0.37904
0149			0.3783	0.37554
0150			0.37846	0.3781
0151			0.37827	0.37817
0152			0.37827	0.37815
0153			0.37826	0.37812
0154			0.37825	0.37807
0155			0.37823	0.37784
0156			0.37819	0.3774
0157			0.37812	0.37673
0158			0.37803	0.3759
0159			0.37806	0.37916
